agent_id,M-001,MV-002,MV-003,MV-004,MV-005,MV-006
217,400,0,0,0,0,0
218,400,0,0,0,0,0
219,400,0,0,0,0,0
220,400,0,0,0,0,0
221,135,0,265,0,0,0
222,400,0,0,0,0,0
223,400,0,0,0,0,0
224,400,0,0,0,0,0
225,400,0,0,0,0,0
226,400,0,0,0,0,0
227,400,0,0,0,0,0
228,400,0,0,0,0,0
229,400,0,0,0,0,0
230,400,0,0,0,0,0
231,400,0,0,0,0,0
232,400,0,0,0,0,0
233,400,0,0,0,0,0
234,400,0,0,0,0,0
235,400,0,0,0,0,0
236,400,0,0,0,0,0
237,400,0,0,0,0,0
238,400,0,0,0,0,0
239,400,0,0,0,0,0
240,400,0,0,0,0,0
241,400,0,0,0,0,0
242,400,0,0,0,0,0
243,400,0,0,0,0,0
244,400,0,0,0,0,0
245,400,0,0,0,0,0
246,400,0,0,0,0,0
247,400,0,0,0,0,0
248,400,0,0,0,0,0
249,400,0,0,0,0,0
250,400,0,0,0,0,0
251,400,0,0,0,0,0
252,400,0,0,0,0,0
253,400,0,0,0,0,0
254,400,0,0,0,0,0
255,203,0,0,0,5,192
256,400,0,0,0,0,0
257,400,0,0,0,0,0
258,400,0,0,0,0,0
259,400,0,0,0,0,0
260,400,0,0,0,0,0
261,400,0,0,0,0,0
262,400,0,0,0,0,0
263,400,0,0,0,0,0
264,174,0,0,226,0,0
265,400,0,0,0,0,0
266,400,0,0,0,0,0
267,400,0,0,0,0,0
268,400,0,0,0,0,0
269,400,0,0,0,0,0
270,400,0,0,0,0,0
271,400,0,0,0,0,0
272,400,0,0,0,0,0
273,400,0,0,0,0,0
274,54,346,0,0,0,0
275,400,0,0,0,0,0
276,400,0,0,0,0,0
277,400,0,0,0,0,0
278,400,0,0,0,0,0
279,400,0,0,0,0,0
280,400,0,0,0,0,0
281,400,0,0,0,0,0
282,400,0,0,0,0,0
283,400,0,0,0,0,0
284,400,0,0,0,0,0
285,400,0,0,0,0,0
286,400,0,0,0,0,0
287,400,0,0,0,0,0
288,400,0,0,0,0,0
289,400,0,0,0,0,0
290,400,0,0,0,0,0
291,400,0,0,0,0,0
292,400,0,0,0,0,0
293,400,0,0,0,0,0
294,400,0,0,0,0,0
295,400,0,0,0,0,0
296,400,0,0,0,0,0
297,400,0,0,0,0,0
298,400,0,0,0,0,0
299,400,0,0,0,0,0
300,400,0,0,0,0,0
301,400,0,0,0,0,0
302,400,0,0,0,0,0
303,400,0,0,0,0,0
304,400,0,0,0,0,0
305,400,0,0,0,0,0
306,400,0,0,0,0,0
307,400,0,0,0,0,0
308,400,0,0,0,0,0
309,400,0,0,0,0,0
310,400,0,0,0,0,0
311,400,0,0,0,0,0
312,400,0,0,0,0,0
313,400,0,0,0,0,0
314,400,0,0,0,0,0
315,400,0,0,0,0,0
316,400,0,0,0,0,0
317,400,0,0,0,0,0
318,400,0,0,0,0,0
319,400,0,0,0,0,0
320,400,0,0,0,0,0
321,400,0,0,0,0,0
322,400,0,0,0,0,0
323,400,0,0,0,0,0
324,400,0,0,0,0,0
325,400,0,0,0,0,0
326,400,0,0,0,0,0
327,400,0,0,0,0,0
328,400,0,0,0,0,0
329,400,0,0,0,0,0
330,400,0,0,0,0,0
331,400,0,0,0,0,0
332,400,0,0,0,0,0
333,400,0,0,0,0,0
334,400,0,0,0,0,0
335,400,0,0,0,0,0
336,400,0,0,0,0,0
337,400,0,0,0,0,0
338,400,0,0,0,0,0
339,400,0,0,0,0,0
340,400,0,0,0,0,0
341,400,0,0,0,0,0
342,400,0,0,0,0,0
343,400,0,0,0,0,0
344,400,0,0,0,0,0
345,400,0,0,0,0,0
346,400,0,0,0,0,0
347,400,0,0,0,0,0
348,400,0,0,0,0,0
349,400,0,0,0,0,0
350,400,0,0,0,0,0
351,400,0,0,0,0,0
352,400,0,0,0,0,0
353,400,0,0,0,0,0
354,400,0,0,0,0,0
355,400,0,0,0,0,0
356,400,0,0,0,0,0
357,400,0,0,0,0,0
358,400,0,0,0,0,0
359,400,0,0,0,0,0
360,400,0,0,0,0,0
361,400,0,0,0,0,0
362,400,0,0,0,0,0
363,400,0,0,0,0,0
364,400,0,0,0,0,0
365,400,0,0,0,0,0
366,400,0,0,0,0,0
367,400,0,0,0,0,0
368,400,0,0,0,0,0
369,400,0,0,0,0,0
370,400,0,0,0,0,0
371,400,0,0,0,0,0
372,400,0,0,0,0,0
373,400,0,0,0,0,0
374,400,0,0,0,0,0
375,400,0,0,0,0,0
376,400,0,0,0,0,0
377,400,0,0,0,0,0
378,400,0,0,0,0,0
379,400,0,0,0,0,0
380,400,0,0,0,0,0
381,400,0,0,0,0,0
382,400,0,0,0,0,0
383,400,0,0,0,0,0
384,400,0,0,0,0,0
385,52,348,0,0,0,0
386,400,0,0,0,0,0
387,400,0,0,0,0,0
388,55,345,0,0,0,0
389,400,0,0,0,0,0
390,67,333,0,0,0,0
391,65,335,0,0,0,0
392,400,0,0,0,0,0
393,69,331,0,0,0,0
394,100,300,0,0,0,0
395,400,0,0,0,0,0
396,83,317,0,0,0,0
397,400,0,0,0,0,0
398,93,307,0,0,0,0
399,96,304,0,0,0,0
400,400,0,0,0,0,0
